qRg,(qRg)^2*I(q)/I(0),(qRg)^2*I(q)/I(0)_err,
0.11036638191084061,0.010634616064061485,0.0010741256628749546,
0.1208774660776025,0.014108898864532256,0.0006986755159177784,
0.13138855024436438,0.017018554177049547,0.000703202852255883,
0.1418996340430944,0.020666495190134727,0.000670857986425061,
0.1524107182098563,0.022926352110303503,0.0006226702413165889,
0.16292180200858636,0.02672123769271657,0.0006080549665603285,
0.17343288617534824,0.031137723331140316,0.0006327779295728515,
0.18394396997407828,0.034484291694872736,0.0006735503892302252,
0.19445505414084016,0.03815015160246326,0.0007190912735918375,
0.20496613830760207,0.04102945901876533,0.0007896082322339727,
0.2154772221063321,0.0477633176596864,0.0008704187463197214,
0.225988306273094,0.04996146177068142,0.0009304831407612997,
0.23649939007182405,0.05481496057516729,0.000992088584585794,
0.24701047423858594,0.060800376721117703,0.0010453915124395826,
0.25752155803731597,0.06553970563330021,0.0011032530212523892,
0.26803264220407785,0.070362481481476,0.0011854762829609216,
0.2785437263708398,0.07462704896666407,0.0012681506152100559,
0.2890548101695698,0.08199117520286002,0.0013173187454817833,
0.29956589433633174,0.08595620990146897,0.0013839274909204116,
0.31007697813506174,0.09266630436659712,0.0014801220386367379,
0.3205880623018236,0.10012772511103965,0.001544350494828212,
0.33109914610055363,0.10642664101029135,0.0016396119427567056,
0.3416102302673155,0.11261714402987798,0.0016882312803310035,
0.35212131443407746,0.11960661286401136,0.0017562128704129494,
0.36263239823280746,0.12632177999609015,0.0019113438380821146,
0.3731434812954738,0.12914878435694696,0.001914047629338713,
0.3836545669343632,0.14088131792765402,0.0019945236758135594,
0.3941656488929339,0.15044347942376995,0.0021239641844647346,
0.4046767345318232,0.1572255924441594,0.0022007083011071744,
0.4151878164903939,0.16586634425724747,0.002322658872939791,
0.42569890212928324,0.1735122383722434,0.0023428366159120913,
0.4362099877681726,0.17804793643094388,0.0024643746741242856,
0.4467210697267433,0.1865867520799518,0.0025502164888200527,
0.45723215536563266,0.19813938086476401,0.0024636605219827815,
0.4677432373242034,0.2006883466758277,0.0025239634871931363,
0.4782543229630927,0.2124767578836497,0.002527819396688373,
