,,Well,A01,A02,A03,A04,A05,A06,B01,B02,B03,B04,B05,B06,C01,C02,C03,C04,C05,C06,D01,D02,D03,D04,D05,D06,E01,E02,E03,E04,E05,E06,F01,F02,F03,F04,F05,F06,G01,G02,G03,G04,G05,G06,H01,H02,H03,H04,H05,H06,A07,A08,A09,A10,A11,A12,B07,B08,B09,B10,B11,B12,C07,C08,C09,C10,C11,C12,D07,D08,D09,D10,D11,D12,E07,E08,E09,E10,E11,E12,F07,F08,F09,F10,F11,F12,G07,G08,G09,G10,G11,G12,H07,H08,H09,H10,H11,H12
,,Wavelength (nm),Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,Ficoll,Ficoll,Ficoll,Ficoll,Ficoll,Ficoll,D-Sorbitol,D-Sorbitol,D-Sorbitol,D-Sorbitol,D-Sorbitol,D-Sorbitol,Glycerol,Glycerol,Glycerol,Glycerol,Glycerol,Glycerol,PEG200,PEG200,PEG200,PEG200,PEG200,PEG200,PEG1500,PEG1500,PEG1500,PEG1500,PEG1500,PEG1500,PEG4000,PEG4000,PEG4000,PEG4000,PEG4000,PEG4000,PEG8000,PEG8000,PEG8000,PEG8000,PEG8000,PEG8000,Sucrose,Sucrose,Sucrose,Sucrose,Sucrose,Sucrose,L(+)-Arabinose,L(+)-Arabinose,L(+)-Arabinose,L(+)-Arabinose,L(+)-Arabinose,L(+)-Arabinose,Dextran,Dextran,Dextran,Dextran,Dextran,Dextran,EG,EG,EG,EG,EG,EG,PEG400,PEG400,PEG400,PEG400,PEG400,PEG400,PEG2000,PEG2000,PEG2000,PEG2000,PEG2000,PEG2000,PEG6000,PEG6000,PEG6000,PEG6000,PEG6000,PEG6000,PEG10000,PEG10000,PEG10000,PEG10000,PEG10000,PEG10000
Protein,Gain,conc,0,0,0,0,0,0,4,8,12,16,20,24,4,8,12,16,20,24,4,8,12,16,20,24,4,8,12,16,20,24,4,8,12,16,20,24,4,8,12,16,20,24,4,8,12,16,20,24,4,8,12,16,20,24,4,8,12,16,20,24,4,8,12,16,20,24,4,8,12,16,20,24,4,8,12,16,20,24,4,8,12,16,20,24,4,8,12,16,20,24,4,8,12,16,20,24
GS48,1020,450,2229,2411,2171,2071,2118,2162,2334,2215,2043,2217,1912,1615,2400,2567,2691,2368,2348,2228,2411,2532,2535,2334,2667,2667,2844,3002,2767,2908,2908,2853,2695,2641,2491,2316,1800,1766,2451,2649,2515,1963,1015,557,2500,2503,2361,1829,815,391,2308,2381,2309,2379,2499,2716,2357,2503,2414,2581,2643,2711,2073,2062,2277,2104,1818,1753,2251,2453,2409,2367,2410,2436,2536,2654,2676,2576,2572,2040,2496,2487,2214,2068,1961,1637,2668,2646,2417,2170,972,466,2673,2002,2516,1771,681,463
GS48,1020,451,2761,2965,2674,2552,2595,2684,2862,2718,2505,2699,2324,1926,2948,3161,3310,2916,2872,2719,2951,3118,3103,2886,3295,3299,3489,3710,3405,3559,3568,3527,3272,3218,3028,2823,2207,2148,3001,3237,3062,2396,1231,677,3080,3051,2892,2236,994,460,2841,2943,2836,2921,3058,3305,2903,3061,2960,3135,3235,3323,2546,2500,2778,2524,2205,2062,2736,3029,2967,2905,2975,2984,3111,3255,3256,3148,3120,2509,3066,3063,2708,2522,2388,1989,3238,3240,2958,2656,1181,565,3275,2446,3057,2165,814,542
GS48,1020,452,3388,3667,3301,3134,3221,3297,3501,3303,3031,3245,2815,2319,3650,3877,4055,3584,3534,3349,3605,3816,3812,3529,4052,4023,4287,4548,4172,4372,4350,4286,4030,3961,3674,3445,2700,2644,3661,3975,3782,2928,1507,820,3790,3736,3538,2715,1212,560,3488,3623,3476,3574,3788,4090,3551,3777,3627,3828,3952,4033,3112,3041,3382,3067,2630,2465,3378,3716,3639,3573,3655,3668,3825,3983,3996,3856,3831,3066,3720,3760,3316,3093,2926,2419,3954,3962,3606,3228,1427,678,4022,2997,3754,2639,985,657
GS48,1020,453,4269,4599,4154,3960,4072,4158,4372,4139,3799,4039,3485,2847,4559,4846,5112,4493,4460,4193,4494,4735,4747,4375,5003,5024,5355,5664,5238,5466,5473,5399,4999,4913,4605,4311,3363,3303,4557,4950,4677,3639,1878,1011,4641,4639,4380,3404,1494,680,4406,4538,4394,4482,4736,5110,4472,4737,4563,4826,4972,5050,3909,3806,4189,3772,3260,3015,4242,4622,4548,4463,4584,4570,4815,4981,5008,4822,4796,3818,4658,4708,4158,3843,3669,3028,4938,4908,4495,4003,1776,820,4978,3724,4663,3263,1210,815
GS48,1020,454,5209,5627,5075,4856,4962,5081,5315,5030,4616,4897,4214,3420,5569,5885,6241,5475,5415,5106,5489,5820,5815,5383,6113,6136,6518,6913,6350,6618,6639,6557,6067,6009,5588,5189,4081,3973,5524,6001,5713,4420,2261,1209,5649,5673,5339,4112,1817,820,5368,5563,5378,5460,5772,6210,5445,5767,5536,5838,6000,6039,4741,4615,5050,4554,3880,3617,5161,5650,5520,5416,5543,5573,5854,6081,6084,5865,5817,4634,5656,5681,5049,4681,4425,3664,5995,5988,5426,4858,2155,991,6076,4532,5633,3982,1457,962
GS48,1020,455,6262,6803,6164,5877,6040,6156,6376,6020,5532,5892,5047,4086,6691,7111,7504,6645,6509,6162,6571,6996,7008,6415,7389,7373,7846,8318,7674,7983,7982,7921,7357,7209,6715,6281,4886,4814,6642,7192,6848,5304,2718,1446,6776,6785,6419,4971,2177,970,6499,6708,6465,6620,6940,7494,6561,6942,6674,7048,7260,7312,5702,5515,6051,5434,4646,4275,6216,6821,6669,6582,6673,6686,7011,7285,7326,7086,7014,5537,6797,6883,6057,5600,5315,4395,7221,7161,6543,5851,2549,1175,7255,5443,6764,4754,1757,1143
GS48,1020,456,7548,8215,7452,7067,7230,7388,7629,7219,6582,7041,6060,4886,7991,8510,9058,7953,7845,7355,7883,8362,8375,7727,8848,8852,9370,9903,9124,9543,9510,9458,8685,8604,8047,7465,5824,5723,7920,8594,8152,6319,3193,1697,8112,8084,7621,5902,2599,1151,7834,8037,7785,7928,8365,8996,7884,8356,8021,8508,8721,8782,6864,6626,7219,6498,5511,5029,7461,8154,8017,7845,8021,7997,8401,8689,8735,8443,8314,6641,8125,8194,7252,6736,6383,5234,8590,8568,7825,6998,3046,1409,8681,6484,8048,5644,2068,1364
GS48,1020,457,9090,9868,8957,8531,8720,8954,9165,8612,7890,8389,7209,5775,9548,10245,10852,9531,9438,8837,9440,10014,10048,9226,10544,10537,11197,11843,10977,11390,11394,11271,10432,10335,9640,9016,6991,6864,9484,10278,9813,7544,3815,2034,9628,9595,9070,7048,3068,1344,9376,9656,9325,9572,10040,10811,9479,10000,9599,10148,10412,10447,8184,7896,8603,7743,6566,5986,8907,9773,9558,9372,9559,9556,10034,10430,10501,10129,9954,7967,9787,9835,8648,8050,7611,6250,10263,10212,9326,8344,3636,1652,10368,7720,9624,6720,2461,1605
