,,Well,A01,A02,A03,A04,A05,A06,B01,B02,B03,B04,B05,B06,C01,C02,C03,C04,C05,C06,D01,D02,D03,D04,D05,D06,E01,E02,E03,E04,E05,E06,F01,F02,F03,F04,F05,F06,G01,G02,G03,G04,G05,G06,H01,H02,H03,H04,H05,H06,A07,A08,A09,A10,A11,A12,B07,B08,B09,B10,B11,B12,C07,C08,C09,C10,C11,C12,D07,D08,D09,D10,D11,D12,E07,E08,E09,E10,E11,E12,F07,F08,F09,F10,F11,F12,G07,G08,G09,G10,G11,G12,H07,H08,H09,H10,H11,H12
,,Wavelength (nm),Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,Ficoll,Ficoll,Ficoll,Ficoll,Ficoll,Ficoll,D-Sorbitol,D-Sorbitol,D-Sorbitol,D-Sorbitol,D-Sorbitol,D-Sorbitol,Glycerol,Glycerol,Glycerol,Glycerol,Glycerol,Glycerol,PEG200,PEG200,PEG200,PEG200,PEG200,PEG200,PEG1500,PEG1500,PEG1500,PEG1500,PEG1500,PEG1500,PEG4000,PEG4000,PEG4000,PEG4000,PEG4000,PEG4000,PEG8000,PEG8000,PEG8000,PEG8000,PEG8000,PEG8000,Sucrose,Sucrose,Sucrose,Sucrose,Sucrose,Sucrose,L(+)-Arabinose,L(+)-Arabinose,L(+)-Arabinose,L(+)-Arabinose,L(+)-Arabinose,L(+)-Arabinose,Dextran,Dextran,Dextran,Dextran,Dextran,Dextran,EG,EG,EG,EG,EG,EG,PEG400,PEG400,PEG400,PEG400,PEG400,PEG400,PEG2000,PEG2000,PEG2000,PEG2000,PEG2000,PEG2000,PEG6000,PEG6000,PEG6000,PEG6000,PEG6000,PEG6000,PEG10000,PEG10000,PEG10000,PEG10000,PEG10000,PEG10000
Protein,Gain,conc,0,0,0,0,0,0,4,8,12,16,20,24,4,8,12,16,20,24,4,8,12,16,20,24,4,8,12,16,20,24,4,8,12,16,20,24,4,8,12,16,20,24,4,8,12,16,20,24,4,8,12,16,20,24,4,8,12,16,20,24,4,8,12,16,20,24,4,8,12,16,20,24,4,8,12,16,20,24,4,8,12,16,20,24,4,8,12,16,20,24,4,8,12,16,20,24
GS8,1020,450,1123,1246,1086,1192,1102,1198,1342,1215,1160,1169,1083,1094,1376,1333,1255,1266,1311,1319,1254,1331,1326,1501,1563,1387,1567,1595,1573,1696,1669,1668,1540,1390,1338,1412,1401,1196,1602,1271,1466,1102,1154,625,1540,1343,1292,1228,1001,545,1257,1157,1298,1239,1456,1394,1184,1223,1379,1376,1442,1519,1401,1428,1046,1251,1243,1316,1352,1264,1287,1283,1449,1405,1453,1355,1531,1262,1096,1473,1457,1123,1043,1334,1253,957,1519,1220,1188,1245,1197,763,1409,1390,1296,1316,1216,487
GS8,1020,451,1391,1513,1331,1439,1351,1476,1630,1476,1391,1393,1312,1306,1670,1628,1510,1545,1608,1607,1550,1628,1613,1833,1912,1668,1919,1949,1946,2072,2022,2041,1870,1688,1637,1744,1710,1448,1953,1556,1782,1333,1415,750,1872,1616,1562,1479,1216,631,1541,1388,1577,1497,1774,1723,1448,1489,1679,1649,1731,1792,1694,1706,1252,1466,1453,1541,1654,1525,1565,1572,1775,1696,1769,1647,1874,1551,1337,1806,1784,1385,1253,1620,1510,1172,1843,1473,1438,1536,1451,921,1692,1689,1582,1594,1470,578
GS8,1020,452,1704,1858,1629,1782,1656,1805,1993,1792,1679,1676,1585,1569,2028,2012,1870,1861,1958,1966,1862,1982,1965,2252,2337,2046,2343,2383,2385,2530,2460,2472,2287,2066,2001,2109,2106,1779,2378,1886,2176,1614,1711,899,2273,1984,1906,1805,1467,749,1899,1702,1955,1841,2181,2098,1758,1807,2027,1992,2107,2133,2042,2080,1489,1752,1722,1793,2018,1876,1908,1908,2160,2074,2159,2009,2301,1871,1644,2192,2171,1666,1532,1959,1873,1421,2241,1808,1758,1840,1747,1113,2071,2047,1919,1923,1787,696
GS8,1020,453,2115,2329,2019,2224,2051,2254,2486,2219,2080,2088,1931,1914,2561,2508,2320,2353,2463,2443,2317,2455,2441,2755,2866,2529,2903,2961,2930,3135,3062,3104,2845,2554,2482,2629,2591,2202,2959,2342,2688,2017,2129,1113,2834,2471,2364,2237,1839,922,2379,2132,2429,2294,2703,2590,2190,2256,2525,2482,2589,2646,2552,2567,1822,2116,2088,2144,2482,2327,2374,2390,2677,2593,2684,2492,2839,2338,2034,2726,2709,2080,1896,2456,2300,1757,2797,2233,2198,2320,2185,1379,2588,2553,2385,2382,2205,851
GS8,1020,454,2597,2824,2438,2719,2493,2736,2993,2678,2513,2491,2342,2311,3083,3030,2835,2841,2962,2970,2826,2997,2994,3396,3532,3096,3531,3623,3595,3827,3722,3711,3435,3114,2999,3185,3127,2695,3587,2828,3264,2433,2560,1354,3413,2988,2883,2698,2204,1085,2900,2597,2955,2776,3300,3135,2654,2736,3054,2984,3111,3187,3069,3086,2179,2538,2490,2532,3055,2822,2901,2892,3258,3148,3255,3036,3436,2854,2468,3279,3288,2510,2314,2951,2761,2118,3390,2705,2635,2768,2624,1664,3111,3072,2886,2868,2649,1008
GS8,1020,455,3104,3374,2930,3256,2979,3288,3586,3202,2976,2957,2779,2742,3713,3656,3364,3409,3554,3547,3386,3612,3593,4073,4233,3692,4271,4332,4288,4564,4453,4477,4121,3742,3594,3795,3773,3214,4310,3379,3909,2921,3068,1594,4072,3573,3423,3210,2631,1273,3468,3112,3542,3315,3942,3750,3190,3263,3629,3577,3725,3779,3669,3672,2570,3007,2906,2956,3656,3405,3465,3453,3933,3766,3891,3644,4153,3398,2953,3917,3931,2981,2746,3546,3331,2519,4064,3233,3155,3294,3139,1968,3723,3680,3442,3446,3164,1202
GS8,1020,456,3714,4063,3551,3911,3570,3942,4317,3846,3556,3520,3283,3236,4436,4357,4043,4065,4286,4255,4013,4293,4278,4873,5040,4429,5085,5171,5117,5458,5355,5404,4919,4441,4285,4540,4467,3815,5119,4051,4646,3457,3660,1891,4842,4250,4086,3850,3152,1504,4185,3713,4273,3995,4686,4477,3835,3901,4391,4274,4459,4488,4405,4365,3045,3570,3412,3471,4360,4099,4145,4136,4678,4509,4695,4367,4937,4080,3532,4684,4715,3579,3289,4237,3958,3036,4860,3874,3740,3961,3745,2342,4465,4394,4096,4098,3740,1422
GS8,1020,457,4436,4827,4241,4673,4262,4697,5106,4556,4235,4165,3899,3844,5277,5154,4799,4859,5093,5038,4767,5115,5077,5792,5990,5268,6023,6157,6111,6511,6364,6388,5858,5270,5084,5401,5315,4549,6064,4795,5530,4089,4313,2245,5762,5041,4872,4538,3724,1775,4985,4454,5058,4745,5614,5343,4548,4648,5220,5054,5283,5318,5203,5203,3608,4172,4035,4077,5167,4861,4951,4929,5589,5389,5559,5139,5898,4844,4177,5534,5581,4230,3912,5023,4681,3576,5746,4589,4453,4712,4448,2774,5282,5206,4862,4856,4468,1677
