,,Well,A01,A02,A03,A04,A05,A06,B01,B02,B03,B04,B05,B06,C01,C02,C03,C04,C05,C06,D01,D02,D03,D04,D05,D06,E01,E02,E03,E04,E05,E06,F01,F02,F03,F04,F05,F06,G01,G02,G03,G04,G05,G06,H01,H02,H03,H04,H05,H06,A07,A08,A09,A10,A11,A12,B07,B08,B09,B10,B11,B12,C07,C08,C09,C10,C11,C12,D07,D08,D09,D10,D11,D12,E07,E08,E09,E10,E11,E12,F07,F08,F09,F10,F11,F12,G07,G08,G09,G10,G11,G12,H07,H08,H09,H10,H11,H12
,,Wavelength (nm),Buffer,Buffer,Buffer,Buffer,Buffer,Buffer,Ficoll,Ficoll,Ficoll,Ficoll,Ficoll,Ficoll,D-Sorbitol,D-Sorbitol,D-Sorbitol,D-Sorbitol,D-Sorbitol,D-Sorbitol,Glycerol,Glycerol,Glycerol,Glycerol,Glycerol,Glycerol,PEG200,PEG200,PEG200,PEG200,PEG200,PEG200,PEG1500,PEG1500,PEG1500,PEG1500,PEG1500,PEG1500,PEG4000,PEG4000,PEG4000,PEG4000,PEG4000,PEG4000,PEG8000,PEG8000,PEG8000,PEG8000,PEG8000,PEG8000,Sucrose,Sucrose,Sucrose,Sucrose,Sucrose,Sucrose,L(+)-Arabinose,L(+)-Arabinose,L(+)-Arabinose,L(+)-Arabinose,L(+)-Arabinose,L(+)-Arabinose,Dextran,Dextran,Dextran,Dextran,Dextran,Dextran,EG,EG,EG,EG,EG,EG,PEG400,PEG400,PEG400,PEG400,PEG400,PEG400,PEG2000,PEG2000,PEG2000,PEG2000,PEG2000,PEG2000,PEG6000,PEG6000,PEG6000,PEG6000,PEG6000,PEG6000,PEG10000,PEG10000,PEG10000,PEG10000,PEG10000,PEG10000
Protein,Gain,conc,0,0,0,0,0,0,4,8,12,16,20,24,4,8,12,16,20,24,4,8,12,16,20,24,4,8,12,16,20,24,4,8,12,16,20,24,4,8,12,16,20,24,4,8,12,16,20,24,4,8,12,16,20,24,4,8,12,16,20,24,4,8,12,16,20,24,4,8,12,16,20,24,4,8,12,16,20,24,4,8,12,16,20,24,4,8,12,16,20,24,4,8,12,16,20,24
PUMA WT,1020,450,740,671,730,711,654,645,798,721,737,680,672,671,797,801,748,709,717,690,823,830,821,824,788,819,1038,1093,1121,1118,1174,1168,954,842,768,545,346,279,948,762,436,269,219,202,870,701,437,236,216,180,724,760,656,808,846,854,797,869,907,1042,1057,1119,763,700,746,803,661,651,769,738,718,757,797,764,807,844,864,886,858,786,791,765,642,505,400,286,852,738,464,299,220,198,892,654,448,253,222,227
PUMA WT,1020,451,883,813,896,863,814,789,966,879,886,803,795,773,964,965,903,865,864,839,992,984,995,1013,963,1007,1266,1344,1348,1364,1420,1428,1151,1023,924,655,416,321,1132,919,520,313,253,232,1046,835,517,280,252,209,873,919,801,977,1032,1042,977,1039,1108,1266,1289,1327,918,822,888,950,746,740,927,896,883,923,959,923,976,1026,1049,1065,1041,943,957,926,791,617,479,337,1042,883,562,350,258,235,1082,796,533,299,256,263
PUMA WT,1020,452,1098,1000,1113,1070,997,977,1180,1055,1073,970,936,912,1192,1197,1114,1062,1069,1015,1209,1210,1222,1234,1175,1220,1542,1636,1650,1680,1754,1760,1415,1256,1132,804,505,383,1391,1121,632,376,298,275,1292,1023,624,332,297,245,1082,1128,983,1203,1257,1276,1187,1294,1355,1517,1554,1601,1121,991,1041,1119,864,837,1145,1094,1076,1138,1174,1120,1205,1277,1285,1297,1271,1149,1167,1113,954,746,572,401,1250,1073,678,415,298,273,1303,949,642,350,304,307
PUMA WT,1020,453,1372,1261,1392,1341,1243,1216,1445,1312,1317,1179,1126,1094,1482,1480,1389,1316,1326,1264,1494,1512,1526,1528,1467,1534,1931,2041,2044,2104,2202,2211,1757,1550,1406,1001,616,475,1735,1382,781,457,362,322,1587,1268,775,399,356,293,1363,1405,1219,1492,1572,1596,1471,1583,1652,1887,1910,1955,1384,1205,1260,1341,1012,969,1420,1367,1334,1414,1462,1386,1504,1576,1582,1625,1568,1442,1457,1394,1178,944,706,492,1559,1337,832,510,357,320,1641,1193,801,426,361,367
PUMA WT,1020,454,1695,1541,1697,1624,1510,1488,1767,1588,1572,1414,1334,1300,1802,1812,1690,1617,1616,1541,1832,1831,1853,1872,1779,1866,2338,2482,2519,2535,2646,2668,2124,1875,1700,1202,749,562,2090,1672,941,543,436,375,1932,1515,925,480,423,337,1647,1708,1486,1804,1903,1911,1792,1921,2004,2265,2303,2348,1682,1439,1496,1585,1175,1112,1728,1640,1636,1714,1770,1680,1818,1920,1921,1961,1900,1737,1741,1706,1429,1116,850,579,1891,1607,1015,610,429,368,1985,1437,951,504,426,441
PUMA WT,1020,455,2044,1868,2050,1977,1851,1796,2091,1893,1882,1667,1587,1514,2174,2173,2037,1914,1926,1848,2192,2195,2222,2246,2142,2244,2805,2975,3016,3061,3227,3190,2554,2262,2037,1442,880,674,2501,2004,1126,642,510,442,2311,1823,1110,556,491,384,1974,2046,1793,2190,2300,2309,2146,2322,2407,2697,2725,2781,1989,1699,1743,1849,1358,1279,2083,1986,1953,2057,2129,2024,2190,2285,2307,2372,2279,2074,2105,2036,1709,1327,1002,694,2276,1917,1206,725,506,441,2381,1712,1146,599,494,504
PUMA WT,1020,456,2444,2253,2468,2378,2209,2166,2510,2267,2239,1984,1878,1785,2599,2611,2437,2308,2314,2212,2634,2626,2665,2691,2587,2703,3358,3558,3619,3695,3833,3852,3055,2700,2428,1701,1051,798,2996,2395,1340,768,602,516,2761,2165,1316,656,580,452,2378,2467,2143,2619,2755,2751,2595,2756,2882,3231,3251,3317,2398,2021,2077,2200,1571,1471,2473,2390,2345,2463,2566,2438,2603,2751,2781,2829,2758,2480,2508,2451,2057,1609,1193,815,2682,2303,1425,871,591,508,2855,2055,1355,720,580,592
PUMA WT,1020,457,2959,2676,2960,2857,2644,2593,3008,2686,2664,2354,2216,2092,3104,3138,2923,2759,2779,2648,3125,3149,3212,3226,3086,3208,4025,4271,4307,4405,4603,4592,3630,3215,2884,2046,1257,937,3550,2866,1596,898,699,600,3285,2590,1564,778,685,539,2847,2967,2578,3131,3286,3287,3073,3295,3431,3838,3858,3927,2856,2395,2444,2581,1835,1711,2981,2850,2801,2926,3047,2878,3107,3290,3341,3401,3277,2954,2995,2911,2411,1907,1416,976,3208,2741,1708,1016,692,599,3419,2426,1603,827,683,690
PUMA WT,1020,458,3544,3242,3565,3446,3165,3110,3572,3209,3166,2773,2612,2483,3691,3705,3478,3294,3311,3150,3731,3735,3806,3833,3688,3844,4794,5075,5147,5264,5484,5475,4340,3827,3459,2428,1495,1126,4240,3416,1883,1057,822,706,3931,3089,1860,928,811,627,3434,3539,3096,3764,3933,3921,3692,3956,4098,4588,4613,4666,3399,2843,2888,3044,2144,1979,3550,3384,3333,3501,3638,3437,3712,3927,3954,4027,3916,3536,3591,3497,2923,2276,1688,1151,3862,3252,2018,1212,822,699,4041,2898,1917,985,804,815
